tatripid,log_time,stop_name,stop_id,route_id,direction,scheduled_start_date,scheduled_start_time,actual_arrival_time,scheduled_arrival_time
10706,2023-12-11T08:13,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,07:43,08:13,08:03
5920,2023-12-11T08:12,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,07:58,08:13,08:12
6457,2023-12-11T08:13,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,07:48,08:13,08:06
9366,2023-12-11T08:21,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,08:05,08:22,08:16
6458,2023-12-11T08:24,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,07:52,08:24,08:11
6459,2023-12-11T08:24,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,07:58,08:24,08:17
5921,2023-12-11T08:26,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,08:13,08:28,08:27
10707,2023-12-11T08:27,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,07:58,08:28,08:18
9127,2023-12-11T08:34,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,08:10,08:34,08:24
9369,2023-12-11T08:37,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,08:20,08:39,08:30
5922,2023-12-11T08:41,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,08:28,08:41,08:42
6464,2023-12-11T08:42,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,08:22,08:43,08:35
6463,2023-12-11T08:42,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,08:19,08:43,08:37
6462,2023-12-11T08:44,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,08:13,08:44,08:32
6465,2023-12-11T08:45,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,08:28,08:46,08:45
9128,2023-12-11T08:46,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,08:30,08:46,08:46
9267,2023-12-11T08:46,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,07:56,08:47,08:39
10708,2023-12-11T08:50,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,08:13,08:50,08:33
9372,2023-12-11T08:51,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,08:35,08:51,08:46
10709,2023-12-11T08:54,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,08:28,08:54,08:48
5923,2023-12-11T08:54,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,08:43,08:54,08:57
6467,2023-12-11T09:05,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,08:36,09:06,08:55
6468,2023-12-11T09:05,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,08:41,09:06,08:58
6466,2023-12-11T09:05,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,08:33,09:06,08:51
6469,2023-12-11T09:06,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,08:48,09:08,09:06
6470,2023-12-11T09:06,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,08:51,09:12,09:09
5924,2023-12-11T09:06,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,08:58,09:12,09:12
10710,2023-12-11T09:15,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,08:43,09:16,09:03
10711,2023-12-11T09:17,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,08:58,09:18,09:18
9378,2023-12-11T09:17,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,09:05,09:18,09:16
6471,2023-12-11T09:18,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,08:56,09:19,09:13
9129,2023-12-11T09:19,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,09:00,09:19,09:14
6472,2023-12-11T09:22,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,09:03,09:23,09:19
9130,2023-12-11T09:27,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,09:05,09:28,09:19
6473,2023-12-11T09:28,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,09:05,09:29,09:23
6475,2023-12-11T09:28,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,09:18,09:34,09:34
10712,2023-12-11T09:28,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,09:13,09:35,09:32
6474,2023-12-11T09:28,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,09:09,09:35,09:26
9381,2023-12-11T09:28,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,09:20,09:35,09:31
6476,2023-12-11T09:39,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,09:20,09:39,09:38
5926,2023-12-11T09:39,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,09:28,09:41,09:43
9384,2023-12-11T09:38,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,09:35,09:44,09:46
9269,2023-12-11T09:39,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,09:00,09:45,09:42
6480,2023-12-11T09:34,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,09:39,09:50,09:56
6477,2023-12-11T09:39,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,09:24,09:50,09:41
6479,2023-12-11T09:35,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,09:36,09:51,09:53
10713,2023-12-11T09:39,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,09:27,09:51,09:46
6478,2023-12-11T09:39,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,09:33,09:52,09:49
5927,2023-12-11T09:38,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,09:43,09:58,09:58
6481,2023-12-11T09:38,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,09:48,10:04,10:04
9387,2023-12-11T09:38,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,09:50,10:05,10:01
10714,2023-12-11T09:38,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,09:42,10:07,10:01
9277,2023-12-11T16:51,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,16:10,16:52,16:56
6549,2023-12-11T16:55,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,16:38,16:57,17:00
5951,2023-12-11T17:09,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,16:53,17:11,17:13
6551,2023-12-11T17:09,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,16:49,17:13,17:10
6552,2023-12-11T17:09,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,16:53,17:13,17:15
9459,2023-12-11T17:09,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,17:00,17:15,17:14
6553,2023-12-11T17:28,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,17:01,17:28,17:19
6554,2023-12-11T17:28,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,17:02,17:28,17:20
6555,2023-12-11T17:31,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,17:07,17:31,17:28
5952,2023-12-11T17:31,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,17:08,17:31,17:28
9278,2023-12-11T17:31,'FIFTH AVE + MOREWOOD AVE',1177,58,OUTBOUND,2023-12-11,16:45,17:32,17:31
10738,2023-12-11T17:31,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,16:57,17:33,17:20
10739,2023-12-11T17:31,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,17:12,17:33,17:34
9462,2023-12-11T17:31,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,17:15,17:34,17:29
9153,2023-12-11T17:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,17:15,17:37,17:31
5953,2023-12-11T17:43,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,17:23,17:44,17:43
6557,2023-12-11T17:44,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,17:17,17:46,17:35
6558,2023-12-11T17:44,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,17:22,17:46,17:43
9154,2023-12-11T17:48,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,69,OUTBOUND,2023-12-11,17:20,17:48,17:38
6560,2023-12-11T17:58,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,17:32,17:59,17:50
5954,2023-12-11T17:59,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,17:38,18:00,17:58
10741,2023-12-11T18:00,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,17:38,18:00,18:00
9468,2023-12-11T18:00,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,17:45,18:00,17:59
10740,2023-12-11T18:00,'FIFTH AVE + MOREWOOD AVE',1177,71B,OUTBOUND,2023-12-11,17:23,18:01,17:45
6559,2023-12-11T18:02,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,17:31,18:04,17:49
9155,2023-12-11T18:08,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-11,17:50,18:09,18:05
6564,2023-12-11T18:09,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61B,OUTBOUND,2023-12-11,17:50,18:10,18:11
6562,2023-12-11T18:09,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,17:46,18:11,18:04
6563,2023-12-11T18:09,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,17:47,18:11,18:05
9471,2023-12-11T18:14,'FIFTH AVE + MOREWOOD AVE',1177,71D,OUTBOUND,2023-12-11,18:00,18:14,18:12
5955,2023-12-11T18:13,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,17:53,18:15,18:13
6567,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61C,OUTBOUND,2023-12-11,18:02,18:36,18:19
6571,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61A,OUTBOUND,2023-12-11,18:28,18:45,18:45
5957,2023-12-11T18:36,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,61D,OUTBOUND,2023-12-11,18:27,18:45,18:45
